Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-08-01,EL CENTRO,6815.0,8.0,107.2664
2022-08-01,EL PASO,31737.0,151.0,993.9235213646825
2022-08-01,GRAND FORKS,17.0,0.0,0.0
2022-08-01,HAVRE SECTOR,11.0,6.0,0.6053000000000001
2022-08-01,HOULTON SECTOR,28.0,4.0,0.0313
2022-08-01,HOUSTON FIELD,5614.0,64.0,286.7275300308404
2022-08-01,LAREDO FIELD,12374.0,93.0,5653.483452222835
2022-08-01,LAREDO SECTOR,6299.0,30.0,2567.5532000000003
2022-08-01,LOS ANGELES,2318.0,270.0,1733.9331332677607
2022-08-01,MIAMI FIELD,1975.0,698.0,647.6614449084398
2022-08-01,MIAMI SECTOR,1049.0,13.0,364.7353
2022-08-01,NEW ORLEANS,893.0,187.0,1022.0656701329178
2022-08-01,NEW YORK,5229.0,733.0,4533.226888881881
2022-08-01,PORTLAND FIELD,931.0,6.0,132.65875691326
2022-08-01,PRECLEARANCE FIELD,1071.0,49.0,3.2929345763630007
2022-08-01,RAMEY SECTOR,51.0,1.0,60.7367
2022-08-01,RIO GRANDE,27286.0,58.0,2383.4257
2022-08-01,SAN DIEGO,21766.0,276.0,7526.033913070324
2022-08-01,SAN FRANCISCO,1630.0,135.0,1004.7017757768572
2022-08-01,SAN JUAN,626.0,144.0,6366.784008245583
2022-08-01,SEATTLE FIELD,3381.0,140.0,17.7074406989352
2022-08-01,SPOKANE SECTOR,12.0,1.0,0.0
2022-08-01,SWANTON SECTOR,179.0,4.0,1.0726
2022-08-01,TAMPA FIELD,701.0,38.0,8.9291845817502
2022-08-01,TUCSON FIELD,1137.0,101.0,2568.8596989029193
2022-08-01,TUCSON SECTOR,18506.0,103.0,510.2113
2022-08-01,YUMA SECTOR,24226.0,24.0,56.36260000000001
2022-09-01,ATLANTA FIELD,1652.0,8.0,2767.5068232459475
2022-09-01,BALTIMORE FIELD,1463.0,124.0,679.9481872707922
2022-09-01,BIG BEND,1267.0,55.0,947.9487
2022-09-01,BLAINE SECTOR,59.0,3.0,449.2102
2022-09-01,BOSTON FIELD,2621.0,59.0,5.145809657342
2022-09-01,BUFFALO FIELD,8306.0,71.0,89.94772104695201
2022-09-01,BUFFALO SECTOR,18.0,4.0,36.9129
2022-09-01,CHICAGO FIELD,4079.0,555.0,4580.160416406048
2022-09-01,DEL RIO,52003.0,17.0,0.33840000000000003
2022-09-01,DETROIT FIELD,1482.0,127.0,112.659853509323
2022-09-01,DETROIT SECTOR,35.0,16.0,120.3748
2022-09-01,EL CENTRO,8150.0,23.0,732.8173
2022-09-01,EL PASO,50648.0,145.0,383.12027414921323
2022-09-01,GRAND FORKS,13.0,0.0,0.0
2022-09-01,HAVRE SECTOR,3.0,4.0,2.4931
2022-09-01,HOULTON SECTOR,36.0,7.0,60.275
2022-09-01,HOUSTON FIELD,5824.0,113.0,89.2786842204606
2022-09-01,LAREDO FIELD,9321.0,114.0,4551.905509937378
2022-09-01,LAREDO SECTOR,6341.0,23.0,613.1354
2022-09-01,LOS ANGELES,2060.0,300.0,7403.493928224304
2022-09-01,MIAMI FIELD,1751.0,614.0,743.3971821819398
2022-09-01,MIAMI SECTOR,461.0,4.0,140.7707
2022-09-01,NEW ORLEANS,1123.0,266.0,1182.4186398105148
2022-09-01,NEW YORK,5688.0,676.0,2356.5338612367436
2022-09-01,PORTLAND FIELD,858.0,4.0,0.030864716679999998
2022-09-01,PRECLEARANCE FIELD,1072.0,27.0,5.8844464199468005
2022-09-01,RAMEY SECTOR,44.0,1.0,23.4612
2022-09-01,RIO GRANDE,27673.0,62.0,1997.3306
2022-09-01,SAN DIEGO,23624.0,252.0,6292.132412852864
2022-09-01,SAN FRANCISCO,1635.0,113.0,585.0604580880752
2022-09-01,SAN JUAN,508.0,59.0,190.852196053042
2022-09-01,SEATTLE FIELD,3093.0,139.0,1718.7078771766837
2022-09-01,SPOKANE SECTOR,4.0,0.0,0.0
2022-09-01,SWANTON SECTOR,236.0,4.0,2.6298
2022-09-01,TAMPA FIELD,547.0,35.0,4.0498256142614
2022-09-01,TUCSON FIELD,1405.0,80.0,1869.6158167052913
2022-09-01,TUCSON SECTOR,21740.0,84.0,435.2583
2022-09-01,YUMA SECTOR,25495.0,14.0,84.08220000000001
2022-10-01,ATLANTA FIELD,1288.0,10.0,4673.070665237305
2022-10-01,BALTIMORE FIELD,1244.0,79.0,335.440165963122
2022-10-01,BIG BEND,3606.0,57.0,561.0329999999999
2022-10-01,BLAINE SECTOR,20.0,0.0,0.0
2022-10-01,BOSTON FIELD,1453.0,43.0,25.418483098230602
2022-10-01,BUFFALO FIELD,1450.0,61.0,2571.961316328319
2022-10-01,BUFFALO SECTOR,8.0,1.0,12.2
2022-10-01,CHICAGO FIELD,330.0,830.0,2867.3669685169434
2022-10-01,DEL RIO,28213.0,20.0,23.150100000000002
2022-10-01,DETROIT FIELD,253.0,79.0,145.2260097425342
2022-10-01,DETROIT SECTOR,5.0,8.0,69.4752
2022-10-01,EL CENTRO,5042.0,28.0,94.3535
2022-10-01,EL PASO,14404.0,186.0,705.9582502194213
2022-10-01,GRAND FORKS,1.0,0.0,0.0
2022-10-01,HAVRE SECTOR,3.0,3.0,3.8293
2022-10-01,HOULTON SECTOR,16.0,5.0,0.008
2022-10-01,HOUSTON FIELD,4498.0,58.0,110.13009314532539
2022-10-01,LAREDO FIELD,1974.0,121.0,9516.628523491436
2022-10-01,LAREDO SECTOR,7444.0,34.0,960.9378
2022-10-01,LOS ANGELES,1813.0,221.0,6079.638988829194
2022-10-01,MIAMI FIELD,952.0,747.0,970.5604387278821
2022-10-01,MIAMI SECTOR,191.0,23.0,256.2762
2022-10-01,NEW ORLEANS,1896.0,111.0,461.66512222314
2022-10-01,NEW YORK,1536.0,1756.0,21538.254031493772
2022-10-01,PORTLAND FIELD,140.0,4.0,406.11227619530655
2022-10-01,PRECLEARANCE FIELD,830.0,39.0,3.5183572392579996
2022-10-01,RAMEY SECTOR,212.0,4.0,612.2068
2022-10-01,RIO GRANDE,45382.0,40.0,5073.2624
2022-10-01,SAN DIEGO,18178.0,341.0,9898.786559097456
2022-10-01,SAN FRANCISCO,784.0,211.0,666.2288647989847
2022-10-01,SAN JUAN,542.0,93.0,1090.7918481633333
2022-10-01,SEATTLE FIELD,1614.0,87.0,10394.111558901013
2022-10-01,SPOKANE SECTOR,3.0,1.0,0.0403
2022-10-01,SWANTON SECTOR,43.0,2.0,257.3806
2022-10-01,TAMPA FIELD,308.0,39.0,4.3410342161372
2022-10-01,TUCSON FIELD,374.0,71.0,1911.057585190587
2022-10-01,TUCSON SECTOR,19189.0,67.0,359.9579
2022-10-01,YUMA SECTOR,21897.0,3.0,7.8924
2022-11-01,ATLANTA FIELD,1224.0,17.0,647.6754222158505
2022-11-01,BALTIMORE FIELD,1162.0,92.0,1100.3618504020387
2022-11-01,BIG BEND,3308.0,51.0,1597.2816999999998
2022-11-01,BLAINE SECTOR,16.0,1.0,0.0239
2022-11-01,BOSTON FIELD,1060.0,29.0,12.945874718033
2022-11-01,BUFFALO FIELD,2853.0,53.0,3495.7542356153194
2022-11-01,BUFFALO SECTOR,5.0,2.0,0.033
2022-11-01,CHICAGO FIELD,443.0,989.0,3168.9296907587045
2022-11-01,DEL RIO,30226.0,19.0,29.022100000000002
2022-11-01,DETROIT FIELD,506.0,74.0,875.09344495176
2022-11-01,DETROIT SECTOR,6.0,2.0,16.096600000000002
2022-11-01,EL CENTRO,3889.0,11.0,5.685300000000001
2022-11-01,EL PASO,16326.0,139.0,762.8977394695281
2022-11-01,GRAND FORKS,4.0,1.0,0.0485
2022-11-01,HAVRE SECTOR,14.0,2.0,2.6222000000000003
2022-11-01,HOULTON SECTOR,6.0,5.0,0.1334
2022-11-01,HOUSTON FIELD,4783.0,90.0,95.0047285051604
2022-11-01,LAREDO FIELD,2499.0,104.0,4958.020167125113
2022-11-01,LAREDO SECTOR,8030.0,23.0,519.0829
